intent,description
news_query,The intent news_query is about retrieving recent news articles or information on a specific topic or person.
play_audiobook,"Resume or restart an audiobook where the user left off, allowing them to pick up where they previously stopped listening."
play_game,"Request to engage in a game or interactive activity, such as video games, board games, or other forms of entertainment, with a focus on starting or joining a game session."
play_music,"Request to play a specific song, album, or genre of music, with the ability to filter or repeat requests."
play_podcasts,"Play podcasts: Control playback of podcasts, including skipping to next episode, playing the last podcast, or selecting a specific podcast to play."
play_radio,"Play a specific radio station or select a radio menu to listen to a particular genre, station, or frequency."
qa_currency,"This intent is about asking for exchange rates or the value of one currency against another, such as the US dollar (USD) against the Euro (EUR), British Pound (GBP), New Zealand Dollar (NZD), or Japanese Yen (JPY)."
qa_definition,"QA Definition: This intent is about providing definitions for various terms, concepts, or phrases, including explaining what something is, what it means, or its purpose."
qa_factoid,"Provide factual information about a specific topic, person, or entity, such as geographic distances, birth dates, historical events, or general knowledge facts."
qa_maths,"Perform various arithmetic operations, such as addition, subtraction, multiplication, and division, as well as calculate square roots and other mathematical functions, to arrive at a numerical result."
qa_stock,"Based on the examples, the intent qa_stock appears to be related to asking about the current stock price or making an inquiry about buying or selling stocks."
recommendation_events,"This intent is about asking for events or activities happening in a specific location, typically in the immediate vicinity or a specified city."
recommendation_locations,"Provide recommendations for specific locations, such as shops, restaurants, or other businesses, within a particular area or city, including information on proximity, distance, and quality."
recommendation_movies,"Requesting movie recommendations, including current showtimes, similar movies, and highly rated films, often with specific preferences or genres."
social_post,"Posting a message or comment on social media platforms, such as Twitter, to share information, express opinions, or take action, including making complaints, updates, or requests for information or assistance."
social_query,"Social_query intent: Users seek information about what's trending or happening on social media platforms, such as Twitter or Facebook, including updates from friends, online status of specific individuals, or news and discussions on social media platforms."
takeaway_order,"Requesting takeout or delivery from a pizza shop, specifying location, order details, and preferences."
takeaway_query,"Ask about the availability of takeaway or takeout orders for a specific restaurant or order, including estimated delivery times."
transport_query,"Requesting information about train schedules, arrival times, and availability for a specific location or destination, including asking for the nearest train or a specific train schedule."
transport_taxi,"Book or find a taxi service for a specific trip or ride, including pickup and dropoff details, with options to book in advance or request immediate service."
transport_ticket,"Based on the examples, the intent transport_ticket appears to be about booking or acquiring a ticket for a mode of transportation, specifically trains and planes, for a specific destination and date."
transport_traffic,"The user is seeking information about traffic conditions, such as current traffic updates, traffic reports, or estimated travel times, to plan their journey."
weather_query,"The intent weather_query is about asking for information about the current or future weather conditions, including forecasts, temperature, precipitation, and other weather-related details."
